row,item,quantity,price,photo,photo_2,photo_3,notes
49,Trophy barstool Green grey tufted,11,550.0,images/trophy-barstool-green-grey-tufted.png,,,
50,Grace dining chair Axis back brown croc front,10,1000.0,images/grace-dining-chair-axis-back-brown-croc-front.png,,,
51,Trophy bastool Tufted Mocha Brown,10,550.0,images/trophy-bastool-tufted-mocha-brown.png,,,
52,Brooke dining white with Tri color no nailhead,10,500.0,images/brooke-dining-white-with-tri-color-no-nailhead.png,,,
53,Maverick dining chair front Dark croc back Baroque,10,700.0,images/maverick-dining-chair-front-dark-croc-back-baroque.png,,,
54,Weston accent chair White croc trim,9,1500.0,images/weston-accent-chair-white-croc-trim.png,,,
55,Bethany barstool No arms Diamond back,9,550.0,images/bethany-barstool-no-arms-diamond-back.png,,,
56,Chelsea barstool,9,700.0,images/chelsea-barstool.png,,,
57,Horn office chair Dark croc,8,1500.0,images/horn-office-chair-dark-croc.png,,,
58,Bethany barstool No arms Loredo back,8,550.0,images/bethany-barstool-no-arms-loredo-back.png,,,
59,Saddle barstool Red croc,7,350.0,images/saddle-barstool-red-croc.png,,,
60,Smith barstool Tufted Valentina Tawny,7,200.0,,,,
61,Horn Office chair Tufted Brown,7,1500.0,images/horn-office-chair-tufted-brown.png,,,
62,Pearl Accent Chair Springbuck hide back,6,1600.0,images/pearl-accent-chair-springbuck-hide-back.png,,,
63,Saddle barstool Turquoise Cowboy,6,350.0,images/saddle-barstool-turquoise-cowboy.png,,,
64,Bethany barstool Brown Hide No Arms,5,550.0,images/bethany-barstool-brown-hide-no-arms.png,,,
65,Bethany tooled WITH arms LOREDO,5,600.0,images/bethany-tooled-with-arms-loredo.png,,,
66,"Easton Accent Cream Leather, White & Black Hide P",5,1000.0,images/easton-accent-cream-leather-white-black-hide-p.png,,,
67,Brooke Black Barstool,4,400.0,,,,
68,Trophy barstool Navy Blue Dark Croc full front,4,500.0,images/trophy-barstool-navy-blue-dark-croc-full-front.png,,,
69,Bethany barstool With arms Springbuck,4,700.0,images/bethany-barstool-with-arms-springbuck.png,,,
70,Brooke Brown Barstool,4,400.0,,,,
71,Horn office chair white croc,3,1500.0,images/horn-office-chair-white-croc.png,,,
72,Grace dining chair brown croc,3,550.0,images/grace-dining-chair-brown-croc.png,,,
73,Grace Armless Office chair white croc,3,1000.0,images/grace-armless-office-chair-white-croc.png,,,
74,Trophy barstool tufted Camel,3,550.0,images/trophy-barstool-tufted-camel.png,,,
75,Grace arm Office chair tufted,3,1400.0,images/grace-arm-office-chair-tufted.png,,,
76,Trophy barstool Dark croc,3,550.0,images/trophy-barstool-dark-croc.png,,,
77,Grace dining chair Turquoise croc,3,550.0,images/grace-dining-chair-turquoise-croc.png,,,
78,Jack Ottoman Cowhide turquoise trim,2,1200.0,images/jack-ottoman-cowhide-turquoise-trim.png,,,
79,Half moon tufted ottoman,2,500.0,images/half-moon-tufted-ottoman.png,,,
80,Pearl accent chair Cowhide,2,1600.0,images/pearl-accent-chair-cowhide.png,,,
81,Texas King Bed,2,5000.0,images/texas-king-bed.png,,,
82,Waller accent chair black no tufted,2,1500.0,images/waller-accent-chair-black-no-tufted.png,,,
83,Antoinette Accent chair dark croc front hide back,2,1600.0,images/antoinette-accent-chair-dark-croc-front-hide-back.png,,,
84,Bethany barstool Brown hide with arms,2,600.0,images/bethany-barstool-brown-hide-with-arms.png,,,
85,Lynn dining chair turquoise croc,2,600.0,images/lynn-dining-chair-turquoise-croc.png,,,
86,Murphy round ottoman,2,1000.0,images/murphy-round-ottoman.png,,,
87,Britney accent chair brown diamnond,2,1600.0,images/britney-accent-chair-brown-diamnond.png,,,
88,Murphy round ottoman Taupe,2,1000.0,images/murphy-round-ottoman-taupe.png,,,
89,Antoinette Accent chair Diamond front,2,1600.0,images/antoinette-accent-chair-diamond-front.png,,,
90,Kennedy barstool Brown white floral,2,600.0,images/kennedy-barstool-brown-white-floral.png,,,
91,Grace dining chair tufted front back cowhide,20,500.0,images/grace-dining-chair-tufted-front-back-cowhide.png,,,
92,Murphy ottoman taupe,1,1000.0,images/murphy-ottoman-taupe.png,,,
93,Pearl accent chair White croc,1,1600.0,images/pearl-accent-chair-white-croc.png,,,
94,Jack ottoman rectangle cowhide,1,1200.0,images/jack-ottoman-rectangle-cowhide.png,,,
95,Hugh accent chair,1,1500.0,images/hugh-accent-chair.png,,,
96,Antoinette accent chair Brindle hide front back croc,1,1600.0,images/antoinette-accent-chair-brindle-hide-front-back-croc.png,,,
97,Easton Accent Caramel Leather,1,1000.0,images/easton-accent-caramel-leather.png,,,
98,"Jack ottoman 42"" cowboy tool with hide top",1,1200.0,images/jack-ottoman-42-cowboy-tool-with-hide-top.png,,,
99,Dakota dining chair Taupe,1,500.0,,,,
